Neighborhood,pop_2010,pop_2020
Academy,2816,2355
Baden,7268,5465
Bellefontaine/Calvary Cemetery,0,0
Benton Park,3532,3581
Benton Park West,4404,4238
Bevo Mill,12654,11941
Botanical Heights,1037,1196
Boulevard Heights,8708,8690
Carondelet,8661,7734
Carondelet Park,0,15
Carr Square,2774,2236
Central West End,14471,16670
Cheltenham,620,1260
Clayton-Tamm,2251,2348
Clifton Heights,3074,2836
College Hill,1871,1243
Columbus Square,1869,1978
Compton Heights,1315,1396
Covenant Blu-Grand Center,3562,3041
DeBaliviere Place,3466,3651
Downtown,3721,5442
Downtown West,3940,5115
Dutchtown,15770,15356
Ellendale,1575,1385
Fairground Neighborhood,1793,1157
Fairground Park,0,12
Forest Park,0,50
Forest Park South East,2918,3458
Fountain Park,1484,1075
Fox Park,2632,2545
Franz Park,2442,2260
Gravois Park,5225,4683
Greater Ville,6189,4545
Hamilton Heights,3105,2187
Hi-Pointe,2196,2151
Holly Hills,3701,3647
Hyde Park,2668,2271
Jeff Vanderlou,5557,4209
Kings Oak,180,167
Kingsway East,3542,2502
Kingsway West,3441,2604
Kosciusko,14,52
Lafayette Square,2078,2164
LaSalle Park,1299,1088
Lewis Place,1673,1359
Lindenwood Park,9486,9387
Marine Villa,2691,2530
Mark Twain,4188,3257
Mark Twain I-70 Industrial,1295,902
McKinley Heights,1497,1668
Midtown,5652,6862
Missouri Botanical Garden,2,3
Mount Pleasant,4408,4376
Near North Riverfront,553,395
North Hampton,7892,7489
North Pointe,3966,3396
North Riverfront,937,154
O'Fallon,5791,4342
O'Fallon Park,0,0
Old North St. Louis,1916,1488
Patch,2695,2842
Peabody Darst Webbe,2378,2443
Penrose,6387,5243
Penrose Park,40,22
Princeton Heights,7619,7364
Riverview,304,242
Shaw,6811,6919
Skinker DeBaliviere,4077,3899
Soulard,3440,3831
Southampton,6904,6647
Southwest Garden,4885,5245
St. Louis Hills,7373,7516
St. Louis Place,2939,2336
The Gate District,3456,3419
The Hill,2443,2487
The Ville,1868,1427
Tiffany,1060,915
Tower Grove East,5853,5708
Tower Grove Park,8,7
Tower Grove South,13333,12719
Unallocated - Awaiting CQR,0,16
Vandeventer,1682,2041
Visitation Park,960,924
Walnut Park East,4130,2757
Walnut Park West,3349,2561
Wells Goodfellow,5895,4473
West End,6574,6846
Willmore Park,7,1
Wydown Skinker,1054,1121
